"filename", "language", "JavaScript", "Properties", "Markdown", "JSON", "PostCSS", "JavaScript React", "HTML", "XML", "comment", "blank", "total"
"e:\projects\redux\redux-chat-app\.env", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\projects\redux\redux-chat-app\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"e:\projects\redux\redux-chat-app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"e:\projects\redux\redux-chat-app\package.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"e:\projects\redux\redux-chat-app\postcss.config.cjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\projects\redux\redux-chat-app\src\App.jsx", "JavaScript React", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"e:\projects\redux\redux-chat-app\src\assets\images\blank.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 52, 1, 2, 55
"e:\projects\redux\redux-chat-app\src\assets\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\projects\redux\redux-chat-app\src\assets\images\lws-logo-dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 59, 0, 4, 63
"e:\projects\redux\redux-chat-app\src\assets\images\lws-logo-light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 59, 0, 4, 63
"e:\projects\redux\redux-chat-app\src\components\AllRoutes.jsx", "JavaScript React", 0, 0, 0, 0, 0, 54, 0, 0, 0, 4, 58
"e:\projects\redux\redux-chat-app\src\components\ErrorBoundry.jsx", "JavaScript React", 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 26
"e:\projects\redux\redux-chat-app\src\components\PrivateRoute.jsx", "JavaScript React", 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"e:\projects\redux\redux-chat-app\src\components\PublicRoute.jsx", "JavaScript React", 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"e:\projects\redux\redux-chat-app\src\components\inbox\Blank.jsx", "JavaScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"e:\projects\redux\redux-chat-app\src\components\inbox\ChatIItems.jsx", "JavaScript React", 0, 0, 0, 0, 0, 49, 0, 0, 1, 9, 59
"e:\projects\redux\redux-chat-app\src\components\inbox\ChatItem.jsx", "JavaScript React", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"e:\projects\redux\redux-chat-app\src\components\inbox\Modal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 154, 0, 0, 5, 14, 173
"e:\projects\redux\redux-chat-app\src\components\inbox\Navigation.jsx", "JavaScript React", 0, 0, 0, 0, 0, 29, 0, 0, 1, 4, 34
"e:\projects\redux\redux-chat-app\src\components\inbox\Sidebar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 38, 0, 0, 2, 4, 44
"e:\projects\redux\redux-chat-app\src\components\inbox\chatbody\Blank.jsx", "JavaScript React", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\projects\redux\redux-chat-app\src\components\inbox\chatbody\ChatBody.jsx", "JavaScript React", 0, 0, 0, 0, 0, 40, 0, 0, 3, 8, 51
"e:\projects\redux\redux-chat-app\src\components\inbox\chatbody\ChatHead.jsx", "JavaScript React", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"e:\projects\redux\redux-chat-app\src\components\inbox\chatbody\Message.jsx", "JavaScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\projects\redux\redux-chat-app\src\components\inbox\chatbody\Messages.jsx", "JavaScript React", 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"e:\projects\redux\redux-chat-app\src\components\inbox\chatbody\Options.jsx", "JavaScript React", 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 60
"e:\projects\redux\redux-chat-app\src\components\ui\Error.jsx", "JavaScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\projects\redux\redux-chat-app\src\hooks\useAuth.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\projects\redux\redux-chat-app\src\hooks\useAuthCheck.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"e:\projects\redux\redux-chat-app\src\main.jsx", "JavaScript React", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"e:\projects\redux\redux-chat-app\src\rtk\features\api\apiSlice.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 2, 21
"e:\projects\redux\redux-chat-app\src\rtk\features\auth\authAPI.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 10, 7, 76
"e:\projects\redux\redux-chat-app\src\rtk\features\auth\authSlice.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"e:\projects\redux\redux-chat-app\src\rtk\features\conversations\conversationsAPI.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 8, 5, 104
"e:\projects\redux\redux-chat-app\src\rtk\features\conversations\conversationsSlice.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"e:\projects\redux\redux-chat-app\src\rtk\features\messages\messagesAPI.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\projects\redux\redux-chat-app\src\rtk\features\messages\messagesSlice.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"e:\projects\redux\redux-chat-app\src\rtk\features\users\usersAPI.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\projects\redux\redux-chat-app\src\rtk\middlewares\myMiddleware.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
